Year,Papers,compounds
2023,https://doi.org/10.1002/cbic.202300351,1
2023,https://doi.org/10.1002/cbic.202300351,1
2025,https://doi.org/10.1016/j.bmcl.2025.130193,1
2025,https://doi.org/10.1016/j.bmcl.2025.130193,28
2023,https://doi.org/10.1016/j.ccell.2023.02.010,3
2023,https://doi.org/10.1016/j.ccell.2023.02.010,2
2023,https://doi.org/10.1021/acs.jmedchem.3c01736,46
2023,https://doi.org/10.1021/acs.jmedchem.4c02415,24
2024,https://doi.org/10.1021/acsmedchemlett.4c00250,20
2024,https://doi.org/10.1021/acsmedchemlett.4c00297,8
2024,https://doi.org/10.1021/jacs.4c06127,10
2024,https://doi.org/10.1021/jacsau.4c00762,19
2015,https://doi.org/10.1038/nature14610,1
2023,https://doi.org/10.1038/s41467-023-40385-9,5
2024,https://doi.org/10.1038/s41467-024-44698-1,3
2024,https://doi.org/10.1101/2024.10.01.616159,29
2024,https://doi.org/10.1186/s13045-024-01592-z,3
2020,https://doi.org/10.26508/lsa.202000804,3